antecedents,consequents,support,confidence,lift,leverage,conviction
Job Security, Company Culture,0.1402542372881356,0.4349540078843627,1.1825938463215393,0.021655415110600415,1.1188529759558536
 Company Culture,Promotions / Appraisal,0.1614406779661017,0.4389400921658987,0.8137459681944391,-0.036951307095662134,0.8209341175651691
Job Security, Work Life Balance,0.1326271186440678,0.4113009198423127,1.5334441877217344,0.04613742459063486,1.2430453616828088
 Work Life Balance,Job Security,0.1326271186440678,0.4944707740916271,1.5334441877217344,0.04613742459063486,1.3402635063559318
 Work Life Balance,Promotions / Appraisal,0.11779661016949153,0.4391785150078989,0.8141879775480294,-0.02688325912094225,0.8212831224635951
 Job Security,Promotions / Appraisal,0.14152542372881355,0.5828970331588132,1.0806260787547521,0.010559286124676825,1.104267427841997
 Skill Development / Learning,Job Security,0.11228813559322035,0.4665492957746479,1.446854583479854,0.03467968974432635,1.2701124349723107
Job Security,Promotions / Appraisal,0.14491525423728813,0.44940867279894875,0.8331535489438485,-0.029020575983912666,0.8365428178471747
 Salary & Benefits,Promotions / Appraisal,0.2059322033898305,0.7157584683357879,1.3269363592085308,0.050738473139902346,1.620428997980153
 Work Satisfaction,Promotions / Appraisal,0.11949152542372882,0.6090712742980562,1.1291502021550768,0.013667229244470003,1.178202547054968
